Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Region,State,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2022-133326,2022-04-03,2022-04-08,Standard Class,CG-13905,Customer 96,Consumer,Central,Illinois,Office Supplies,Storage,Eldon Fold N Roll Cart,623.61,9,0.0,160.06
2,CA-2024-106814,2024-08-23,2024-08-27,Second Class,CG-30926,Customer 715,Corporate,East,Ohio,Furniture,Chairs,Realspace Magellan Chair,1909.76,10,0.2,636.52
3,CA-2022-946335,2022-11-21,2022-11-27,Standard Class,CG-15695,Customer 748,Corporate,East,Michigan,Technology,Machines,Brother Intelli-Fax 4750E,1402.97,14,0.3,43.66
4,CA-2022-148050,2022-08-24,2022-08-28,First Class,CG-96673,Customer 234,Corporate,West,Arizona,Office Supplies,Storage,Fellowes Super Stor/Drawer,481.25,6,0.1,142.74
5,CA-2023-835911,2023-07-18,2023-07-22,Second Class,CG-99593,Customer 664,Consumer,South,North Carolina,Furniture,Tables,Bevis 36 x 72 Conference Table,1064.39,6,0.1,302.88
6,CA-2023-913694,2023-08-05,2023-08-12,Standard Class,CG-17331,Customer 235,Consumer,East,Pennsylvania,Office Supplies,Art,Hunt Boston Pencil Sharpener,197.06,4,0.3,20.27
7,CA-2024-774079,2024-03-07,2024-03-10,First Class,CG-70142,Customer 147,Corporate,West,Washington,Technology,Copiers,Hewlett Packard LaserJet,1338.1,8,0.4,154.42
8,CA-2024-195325,2024-04-12,2024-04-19,Standard Class,CG-16175,Customer 113,Consumer,Central,Missouri,Furniture,Tables,Bretford CR4500,1470.28,4,0.0,335.72
9,CA-2021-112038,2021-05-11,2021-05-18,Standard Class,CG-99166,Customer 739,Consumer,South,Alabama,Office Supplies,Art,Hunt Boston Pencil Sharpener,717.34,9,0.2,279.67
10,CA-2022-898975,2022-08-25,2022-08-31,Standard Class,CG-33416,Customer 520,Consumer,Central,Texas,Office Supplies,Supplies,Fiskars Adult Scissors,50.98,12,0.2,19.89
11,CA-2021-217301,2021-11-27,2021-12-04,Standard Class,CG-57576,Customer 315,Consumer,East,New Jersey,Office Supplies,Appliances,Hoover Portapower Machine,645.82,10,0.3,-2.21
12,CA-2023-273148,2023-09-23,2023-09-27,First Class,CG-44741,Customer 541,Home Office,West,California,Furniture,Tables,Bretford CR4500,947.1,3,0.5,126.96
13,CA-2022-335612,2022-10-01,2022-10-08,Standard Class,CG-18392,Customer 347,Consumer,East,Ohio,Technology,Accessories,Logitech Wireless Mouse,3161.44,8,0.5,-359.45
14,CA-2021-349565,2021-05-26,2021-05-29,Second Class,CG-46500,Customer 686,Corporate,East,New York,Office Supplies,Supplies,Acco Remark Laser Pointer,18.72,1,0.3,-2.41
15,CA-2023-531071,2023-08-27,2023-08-29,First Class,CG-71213,Customer 747,Consumer,South,Georgia,Furniture,Tables,Bretford CR4500,976.21,11,0.4,-42.67
16,CA-2022-292401,2022-11-26,2022-11-28,First Class,CG-46509,Customer 474,Consumer,South,Louisiana,Office Supplies,Storage,Eldon Fold N Roll Cart,57.24,4,0.5,-6.18
17,CA-2024-609231,2024-08-28,2024-08-28,Same Day,CG-73092,Customer 219,Corporate,West,California,Furniture,Furnishings,"Howard Miller 11"" Wall Clock",9098.86,13,0.1,984.58
18,CA-2022-411120,2022-06-28,2022-07-01,First Class,CG-38534,Customer 60,Home Office,West,Nevada,Furniture,Tables,Chromcraft Bull-Nose Table,1712.28,12,0.5,-177.33
19,CA-2021-632496,2021-04-13,2021-04-20,Standard Class,CG-20500,Customer 191,Consumer,Central,Texas,Office Supplies,Supplies,Acco Remark Laser Pointer,831.06,9,0.0,58.1
20,CA-2021-539589,2021-09-03,2021-09-07,First Class,CG-96163,Customer 598,Home Office,East,Virginia,Office Supplies,Storage,Rogers File Cabinet,283.9,10,0.0,75.74
21,CA-2022-888387,2022-10-06,2022-10-12,Standard Class,CG-19508,Customer 10,Corporate,East,Ohio,Office Supplies,Envelopes,Wintrust Envelope Selection,153.38,11,0.2,32.21
22,CA-2022-559469,2022-06-28,2022-07-04,Standard Class,CG-81200,Customer 721,Corporate,East,Massachusetts,Office Supplies,Storage,Eldon Fold N Roll Cart,248.3,4,0.3,-16.02
23,CA-2021-734210,2021-08-01,2021-08-03,First Class,CG-37607,Customer 735,Corporate,Central,Missouri,Office Supplies,Supplies,Acco Remark Laser Pointer,60.24,2,0.0,8.75
24,CA-2021-237174,2021-04-15,2021-04-21,Standard Class,CG-93507,Customer 269,Consumer,South,North Carolina,Furniture,Bookcases,Sauder Forest Hills,677.13,1,0.0,112.91
25,CA-2021-710805,2021-01-20,2021-01-27,Standard Class,CG-82420,Customer 152,Corporate,South,Alabama,Office Supplies,Paper,Easy-staple paper,817.83,9,0.0,279.79
26,CA-2021-687080,2021-03-23,2021-03-25,First Class,CG-63264,Customer 636,Home Office,Central,Kansas,Furniture,Chairs,Global Troy Executive Chair,6281.99,11,0.0,1091.73
27,CA-2021-925622,2021-02-20,2021-02-26,Standard Class,CG-24168,Customer 392,Consumer,East,Virginia,Furniture,Tables,Bevis 36 x 72 Conference Table,4052.92,7,0.1,581.12
28,CA-2022-392136,2022-09-18,2022-09-20,First Class,CG-19099,Customer 792,Corporate,South,North Carolina,Technology,Accessories,Belkin F8N112 Laptop Power Adapter,2879.12,11,0.1,545.49
29,CA-2021-555673,2021-08-25,2021-08-28,First Class,CG-55309,Customer 747,Corporate,Central,Texas,Technology,Copiers,Konica Minolta,1194.6,5,0.0,105.05
30,CA-2021-173372,2021-04-01,2021-04-04,Second Class,CG-97062,Customer 339,Home Office,East,New Jersey,Technology,Phones,Nokia Smart Phone,7468.23,13,0.1,1325.44
31,CA-2023-497562,2023-04-17,2023-04-24,Standard Class,CG-98777,Customer 767,Consumer,Central,Missouri,Technology,Phones,Apple iPhone 6S,1014.98,3,0.1,200.11
32,CA-2022-808446,2022-08-11,2022-08-18,Standard Class,CG-38010,Customer 524,Corporate,West,Oregon,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Compact Refrigerator,187.89,6,0.5,-3.28
33,CA-2023-335552,2023-11-22,2023-11-27,Second Class,CG-36100,Customer 151,Consumer,West,Oregon,Office Supplies,Art,Hunt Boston Pencil Sharpener,464.18,14,0.1,132.51
34,CA-2023-355836,2023-04-29,2023-05-03,First Class,CG-29342,Customer 672,Home Office,West,Nevada,Furniture,Tables,Chromcraft Bull-Nose Table,1583.93,12,0.4,-2.67
35,CA-2024-940346,2024-11-26,2024-12-01,Standard Class,CG-70901,Customer 684,Home Office,East,Pennsylvania,Furniture,Chairs,Global Troy Executive Chair,6738.62,14,0.0,1413.5
36,CA-2024-359249,2024-01-28,2024-02-02,Standard Class,CG-93579,Customer 284,Home Office,South,South Carolina,Office Supplies,Envelopes,Wintrust Envelope Selection,302.6,8,0.5,-21.86
37,CA-2022-342495,2022-08-09,2022-08-15,Standard Class,CG-60205,Customer 711,Consumer,South,Florida,Technology,Accessories,Kensington Lock,3636.54,9,0.0,357.95
38,CA-2022-907189,2022-11-09,2022-11-15,Standard Class,CG-86556,Customer 713,Consumer,South,Tennessee,Office Supplies,Binders,Avery Durable Binders,91.73,14,0.4,-3.04
39,CA-2022-386193,2022-09-04,2022-09-08,Second Class,CG-67125,Customer 498,Consumer,West,Oregon,Office Supplies,Fasteners,OIC Binder Clips,606.2,12,0.1,133.9
40,CA-2021-720644,2021-12-05,2021-12-07,First Class,CG-83975,Customer 679,Consumer,South,Louisiana,Technology,Machines,Xerox WorkCentre,10596.96,9,0.0,3893.59
41,CA-2021-497542,2021-04-13,2021-04-19,Standard Class,CG-46471,Customer 771,Corporate,South,Georgia,Furniture,Furnishings,Eldon Jumbo Plastic Desk Accessories,976.08,6,0.3,76.49
42,CA-2024-359295,2024-01-10,2024-01-16,Standard Class,CG-36130,Customer 21,Home Office,West,Utah,Technology,Phones,Nokia Smart Phone,584.68,2,0.0,183.58
43,CA-2021-736745,2021-08-23,2021-08-28,Standard Class,CG-25012,Customer 797,Consumer,South,Louisiana,Furniture,Tables,Bevis 36 x 72 Conference Table,1451.87,5,0.3,-144.7
44,CA-2024-824161,2024-10-19,2024-10-22,First Class,CG-92213,Customer 249,Consumer,Central,Indiana,Technology,Phones,Samsung Galaxy S6,5336.17,12,0.1,408.74
45,CA-2023-540463,2023-12-28,2024-01-03,Standard Class,CG-74251,Customer 109,Corporate,West,Oregon,Office Supplies,Appliances,Hoover Portapower Machine,88.94,11,0.3,-13.0
46,CA-2021-965845,2021-12-27,2022-01-01,Second Class,CG-87656,Customer 275,Corporate,East,Virginia,Technology,Copiers,Konica Minolta,2249.0,13,0.5,-23.7
